location_name,lat,long,count,location_name_english
ঢাকা,23.711525299999998,90.41114509999998,12505,Dhaka
চট্টগ্রাম,22.335109,91.834073,2430,Chittagong
খুলনা,22.815773999999998,89.568679,1706,Khulna
সিলেট,24.8897956,91.8697894,1587,Sylhet
রংপুর,25.755809600000003,89.244462,1213,Rangpur
ফরিদপুর,23.607082199999997,89.84294059999999,1058,Faridpur
যশোর,23.16643,89.20811259999999,705,Jessore
কুষ্টিয়া,23.901258,89.120482,655,Kushtia
দিনাজপুর,25.6217061,88.63545040000001,580,Dinajpur
চাঁদপুর,23.233258499999998,90.6712912,545,Chandpur
কুমিল্লা,23.468274700000002,91.1788135,508,Comilla
কিশোরগঞ্জ,24.444937,90.776575,504,Kishoreganj
সিরাজগঞ্জ,24.4533978,89.70068149999999,471,Sirajganj
মাদারীপুর,23.164102,90.18968050000001,471,Madaripur
বগুড়া,24.8465228,89.37775500000001,445,Bogra
পাবনা,23.998524,89.233645,384,Pabna
পটুয়াখালী,22.359631600000004,90.3298712,369,Patuakhali
মাগুরা,23.487337,89.419956,345,Magura
নড়াইল,23.172534,89.512672,309,Narail
গাজীপুর,24.0022858,90.4264283,306,Gazipur
হবিগঞ্জ,24.374945,91.41553,289,Habiganj
রাজবাড়ী,23.757430499999998,89.64446650000001,269,Rajbari
নোয়াখালী,22.869563,91.099398,260,Noakhali
ভোলা,22.685923000000003,90.648179,257,Bhola
চাঁপাইনবাবগঞ্জ,24.5965034,88.2775122,247,Chapainawabganj
জামালপুর,24.937533,89.937775,245,Jamalpur
লক্ষ্মীপুর,22.942477,90.841184,240,Lakshmipur
নারায়ণগঞ্জ,23.63366,90.496482,240,Narayanganj
ঠাকুরগাঁও,26.0336945,88.4616834,235,Thakurgaon
ব্রাহ্মণবাড়িয়া,23.9570904,91.1119286,227,Brahmanbaria
গোপালগঞ্জ,23.0050857,89.8266059,225,Gopalganj
গাইবান্ধা,25.328751,89.528088,219,Gaibandha
ফেনী,23.023231,91.3840844,216,Feni
শেরপুর,25.020493300000002,90.01529659999999,214,Sherpur
ঝিনাইদহ,23.544817600000002,89.1539213,212,Jhenaidah
কুড়িগ্রাম,25.805445000000002,89.636174,186,Kurigram
বাগেরহাট,22.651568,89.785938,179,Bagerhat
মৌলভীবাজার,24.482934,91.777417,164,MauloviBhibajara
মেহেরপুর,23.762213,88.631821,153,Meherpur
বান্দরবান,22.195327499999998,92.21837729999999,152,Bandarban
চুয়াডাঙ্গা,23.6401961,88.841841,148,Chuadanga
খাগড়াছড়ি,23.119285,91.984663,142,Khagrachari
সুনামগঞ্জ,25.0658042,91.3950115,141,Sunamganj
নরসিংদী,23.932233,90.71540999999999,133,Narsingdi
নীলফামারী,25.931794,88.85600600000001,97,Nilphamari
নাটোর,24.420556,89.000282,88,Natore
পঞ্চগড়,26.3411,88.55416059999999,82,Ponchoghar
নেত্রকোণা,24.870955,90.727887,66,Netrokona
