location_name,lat,long,count,location_name_english
ঢাকা,23.810332,90.4125181,12512,dhaka
চট্টগ্রাম,22.356851,91.7831819,2430,chittagong
বরিশাল,22.7010021,90.35345110000002,2011,barisal
খুলনা,22.845641,89.5403279,1706,khulna
রাজশাহী,24.3745146,88.60416599999999,1703,rajshahi
সিলেট,24.8949294,91.8687063,1587,sylhet
ময়মনসিংহ,24.7471492,90.4202734,1536,mymensingh
রংপুর,25.7438916,89.275227,1213,rangpur
ফরিদপুর,23.5423919,89.6308921,1058,faridpur
সাতক্ষীরা,22.3154812,89.1114525,746,satkhira
যশোর,23.1634014,89.2181664,705,jessore
কুষ্টিয়া,23.8906995,89.1099368,655,kushtia
দিনাজপুর,25.6279123,88.63317579999999,580,dinajpur
চাঁদপুর,23.2320991,90.66307499999999,545,chandpur
টাঙ্গাইল,24.2513451,89.9167104,511,tangail
কুমিল্লা,23.4606574,91.1809065,508,comilla
কিশোরগঞ্জ,24.4034905,90.7722974,504,kishoreganj
সিরাজগঞ্জ,24.3141115,89.56996149999999,472,sirajganj
মাদারীপুর,23.2393346,90.1869644,471,madaripur
বগুড়া,24.848078,89.3729633,445,bogra
পাবনা,24.0128563,89.2590572,384,pabna
কক্সবাজার,21.4272283,92.0058074,371,coxsbazar
পটুয়াখালী,22.3586174,90.3317203,369,patuakhali
পিরোজপুর,22.5790744,89.97592639999999,359,pirojpur
মাগুরা,23.4290, 89.4364,345,magura
মানিকগঞ্জ,23.8644225,90.004663,345,manikganj
বরগুনা,22.0952915,90.11206960000001,342,barguna
নড়াইল,23.1656982,89.4990219,309,narail
গাজীপুর,23.9999405,90.4202724,307,gazipur
হবিগঞ্জ,24.4771236,91.4506565,289,habiganj
রাজবাড়ী,23.7638997,89.646737,269,rajbari
শরীয়তপুর,23.2423214,90.43477109999999,261,shariatpur
নোয়াখালী,22.8723789,91.09731839999999,260,noakhali
ভোলা,22.1785315,90.7101023,257,bhola
চাঁপাইনবাবগঞ্জ,24.7413111,88.29120689999999,247,chapainawabganj
জামালপুর,24.923025,89.950111,246,jamalpur
লক্ষ্মীপুর,22.9446744,90.8281907,240,lakshmipur
নারায়ণগঞ্জ,23.6237764,90.50004039999999,240,narayanganj
ঠাকুরগাঁও,26.0418392,88.4282616,235,thakurgaon
ব্রাহ্মণবাড়িয়া,23.9608181,91.1115014,227,brahmanbaria
গোপালগঞ্জ,23.0488, 89.8879,225,gopalganj
গাইবান্ধা,25.3296928,89.54296520000001,220,gaibandha
ফেনী,22.9409, 91.4067,216,feni
শেরপুর,25.0746235,90.14949039999999,214,sherpur
ঝিনাইদহ,23.5449873,89.17260309999999,212,jhenaidah
নওগাঁ,24.9131597,88.75309519999999,189,naogaon
কুড়িগ্রাম,25.8072414,89.6294746,187,kurigram
বাগেরহাট,22.6554516,89.7661527,179,bagerhat
ঝালকাঠি,22.57208,90.1869644,177,jhalakathi
মৌলভীবাজার,24.3095344,91.73149029999999,164,moulvibazar
মেহেরপুর,23.8051991,88.6723578,153,meherpur
বান্দরবান,21.8311002,92.3686321,152,bandarban
চুয়াডাঙ্গা,23.6160512,88.8263006,148,chuadanga
লালমনিরহাট,25.9923398,89.28472510000002,146,lalmonirhat
খাগড়াছড়ি,23.110821,91.9905996,142,khagrachhari
সুনামগঞ্জ,25.0714535,91.39916269999999,141,sunamganj
নরসিংদী,24.134378,90.78600569999999,133,narsingdi
নীলফামারী,25.8482798,88.9414134,97,nilphamari
জয়পুরহাট,25.0947349,89.09449370000002,97,joypurhat
নাটোর,24.410243,89.0076177,88,natore
পঞ্চগড়,26.2708705,88.59517509999999,82,panchagarh
নেত্রকোণা,24.8103284,90.8656415,66,netrokona
মুন্সিগঞ্জ,23.4980931,90.41266209999999,57,munshiganj
রাঙ্গামাটি,22.6533198,92.1788581,47,rangamati
