location_name,lat,long,count,location_name_english
মিরপুর,23.812229199999997,90.35966979999999,930,Mirpur
মহাখালী,23.779453399999998,90.4045517,512,Mohakhali
উত্তরা,23.8754569,90.3996255,496,Uttara
গুলশান,23.78998675,90.41162696284681,420,Gulshan
মোহাম্মদপুর,23.76327225,90.3598240238032,417,Mohammadpur
বনানী,23.790321,90.40769590000001,384,Banani
গাবতলী,23.782411399999997,90.33740959999999,283,Gabtali
তেজগাঁও,23.779104399999998,90.3840838,241,Tejgaon
মগবাজার,23.7475473,90.4124357,229,Magbazar
বাড্ডা,23.80299805,90.45248085633057,202,Badda
রামপুরা,23.767807100000002,90.4230295,157,Rampura
শ্যামলী,23.776664800000002,90.365691,156,Shyamoli
খিলগাঁও,23.744369600000002,90.4278415,142,Khilgaon
মালিবাগ,23.7451861,90.4149847,142,Malibagh
বারিধারা,23.8032197,90.41947940000001,133,Baridhara
আগারগাঁও,23.7813073,90.3691387,106,Agargaon
পল্লবী,23.8243951,90.3620659,89,Pallabi
ওয়্যারলেস,23.7501692,90.408759,87,Wireless
শংকর,23.7508,90.3684,84,Shankar
কাওরান বাজার,23.7516,90.3943,83,Kauran Bazar
তালতলা,23.78345,90.3762415,81,Taltala
আনন্দ নগর,23.7705,90.4346,80,Anand Nagar
হরিরামপুর,23.752789,89.9776541,75,Harirampur
কল্যাণপুর,23.7806848,90.3613321,74,Kalyanpur
লালমাটিয়া,23.75712485,90.37327453985563,73,Lalmatia
ক্যান্টনমেন্ট,23.815675600000002,90.40292109999999,71,Cantonment
কড়াইল,24.1469,90.0443,62,Korail
শেরে বাংলা নগর,23.7773672,90.3770088,43,Sher Bangla Nagar
চিড়িয়াখানা,23.811402800000003,90.34513829999999,38,Zoo
কাফরুল,23.786647,90.3843109,38,Kafrul
কুড়িল,23.8213586,90.4188667,35,Kuril
খিলক্ষেত,23.8316678,90.4248321,34,Khilkhet
মাটি কাটা,,,34,Mati kata
আদাবর,23.7745693,90.3552923,33,Adabar
নয়াটোলা,23.7535,90.4079,29,Nutola
নিউ ইস্কাটন,23.7486,90.399,28,New Eskaton
রাজা বাজার,24.041183800000002,90.9980203,26,Raja Bazar
বড় বাগ,23.8008,90.3613,25,boro Bagh
পাইকপাড়া,23.606078,90.4981573,23,Paikpara
কালশী,23.8219909,90.3762498,22,Kalashi
আহম্মেদ নগর,23.7934,90.3589,22,Ahmed Nagar
রূপনগর,23.715072600000003,90.37773879999999,20,Rupnagar
সবুজবাগ,23.74056605,90.42840345,20,Sabujbag
রায়ের বাজার,23.7435,90.3619,20,Ray Bazar
পলাশ নগর,23.8163986,90.3776966,17,Palash Nagar
কাজী পাড়া,23.7972,90.3728,16,Kazi Para
হাজী পাড়া,22.57680415,91.68210670593443,15,Haji Para
জাফরাবাদ,23.7482,90.3634,14,Zafarabad
দারুস সালাম,24.039506399999997,91.00097190000001,13,Darus Salam
টোলারবাগ,23.7889,90.3519,13,Tolarbagh
বসিলা,23.7516793,90.3568787,13,Basila
কালওয়ালা পাড়া,,,12,Kalwala Para
মধুবাগ,23.759,90.4119,10,Madhubagh
পেয়ারাবাগ,23.7515,90.4067,9,Peyarabag
জগন্নাথপুর,24.0571911,90.9639449,8,Jagannathpur
বিশিল,23.7949,90.3519,8,Bashil
বিবির বাজার,,,8,Bibir Bazar
মধু বাজার,23.7462,90.3684,8,Madhu Bazar
কালাচাঁদপুর,23.8096,90.4166,7,Kalachandpur
গ্রীন রোড,23.7437581,90.38459209999999,7,Green Road.
উলন,23.7664,90.419,6,Ulan
বালুঘাট,23.720162300000002,90.3798227,5,Balughat
দক্ষিণ বিশিল,23.7949,90.3519,5,South Bashil
পীরের বাগ,23.7892,90.3666,5,Pir Bagh
মনিপুরী পাড়া,23.7621,90.386,5,Manipuri Para
নাছিরের টেক,,,4,Nasirer Tech
সুলতানগঞ্জ,23.7175,90.3637,4,Sultanganj
জোয়ার সাহারা,23.8178,90.4184,3,Joar Sahara
আসাদ গেট,23.7601299,90.3727245,3,Asad Gate
বকস নগর,,,2,Bucks Nagar
বাগিচার টেক,,,2,Garden Tech
নাখাল পাড়া,23.7697,90.3962,2,Nakhal Para
আরজত পাড়া,23.7754,90.3954,2,Arjat Para
সেনপাড়া পর্বতা,23.8052,90.3695,2,Senapara porbota
ইব্রাহীমপুর,23.7963,90.3847,2,Ibrahimpur
নজরুল বাগ,,,2,Nazrul Bagh
বাইশটেকি,23.8101459,90.37860570000001,1,Baishtakei
মানিকদি,23.826,90.3919,1,Manikadi
শাহাজাদপুর,23.7917,90.4249,1,Shahzadpur
জাহানাবাদ,23.7925,90.3423,1,Jahanabad
তেজকুনী পাড়া,23.7613,90.3925,1,Tezkuni Para
ইন্দিরা রোড,23.7582392,90.38669449999999,1,Indira Road
কাটাসুর,23.7547,90.3582,1,Katasur
