location_name,lat,long,count
মিরপুর,23.810544399999998,90.32717530000001,930
ধানমন্ডি,23.7470297,90.3583953,668
মহাখালী,23.7788759,90.3959848,512
উত্তরা,23.8766297,90.34335440000001,496
গুলশান,23.789707699999997,90.3929677,420
মোহাম্মদপুর,23.764577600000003,90.3423034,417
তেজগাঁও,23.7636971,90.3707336,241
বাড্ডা,23.7862842,90.41204559999998,202
বসুন্ধরা,23.819540300000003,90.4194218,170
মতিঝিল,23.7354667,90.4008406,160
রমনা,23.7429462,90.3847031,149
গাবতলি,23.7852853,90.33409590000001,5
