location_name,lat,long,count,eng
মিরপুর,23.8122292,90.3596698,930,Mirpur
উত্তরা,23.8754569,90.3996255,496,Uttara
গুলশান,23.789986749999997,90.41162696284682,420,Gulshan
মোহাম্মদপুর,23.76327225,90.35982402380321,417,Mohammadpur
বিমানবন্দর,22.80402045,90.30063369129826,356,Dhaka International Airport
সাভার,23.8477,90.2587,285,Savar
বাড্ডা,23.80299805,90.45248085633057,202,Badda
কলাবাগান,23.8821893,90.26071222498595,182,Kalabagan
লালবাগ,23.7252728,90.378159,166,Lalbag
মতিঝিল,23.7265973,90.4216076,160,Motijheel
রামপুরা,23.7678071,90.4230295,157,Rampura
রমনা,23.737863400000002,90.40150198695824,149,Ramna
খিলগাঁও,23.7443696,90.4278415,142,Khilgaon
হাজারীবাগ,23.7363543,90.3679624,122,Hazaribagh
ডেমরা,23.7218775,90.5008733,91,Demra
আশুলিয়া,23.9005799,90.3255674,82,Ashulia
কদমতলী,23.687095,90.43466331144069,73,Kadamtoli
ক্যান্টনমেন্ট,23.8156756,90.4029211,71,Dhaka Cantonment
কামরাঙ্গীরচর,23.7171201,90.3689288,64,Kamrangirchar
নিউ মার্কেট,23.8504247,90.2591092,43,New Market
শেরে বাংলা নগর,23.7773672,90.3770088,43,Sher-E-Bangla Nagar
গেন্ডারিয়া,23.7025,90.4261,42,Gandaria
সূত্রাপুর,24.0799224,90.1865732,42,Sutrapur
কাফরুল,23.786647,90.3843109,38,Kafrul
বংশাল,23.7174635,90.4069097,35,Bangshal
খিলক্ষেত,23.8316678,90.4248321,34,Khilkhet
আদাবর,23.7745693,90.3552923,33,Adabor
ওয়ারী,23.7174,90.4178,22,Wari
আজমপুর,23.8627084,90.4087482,20,Azampur
সবুজবাগ,23.740566049999998,90.42840345,20,Sabujbagh
দক্ষিণখান,23.8519,90.4267,14,Dakshin Khan
শাহ আলীবাগ,23.7971,90.3572,3,Shah AliBag
