location_name,lat,long,count
মেহেরপুর গাংনী,23.8206519,88.74218309999999,44
মেহেরপুর মেহেরপুর সদর,23.781239,88.6530753,27
মেহেরপুর মুজিবনগর,23.646846,88.5927608,13
বরগুনা বরগুনা সদর,22.1191492,90.09336859999999,107
বরগুনা পাথরঘাটা,22.071474,89.9440061,47
বরগুনা আমতলী,22.1339094,90.23619289999999,43
বরগুনা বেতাগী,22.4141607,90.1658856,26
বরগুনা বামনা,22.274155,90.0653341,11
বরগুনা তালতলি,22.0237385,90.13077969999999,0
ভোলা ভোলা সদর,22.6901809,90.62041649999999,129
ভোলা মনপুরা,22.1998595,90.9533984,25
ভোলা লালমোহন,22.3081057,90.7722974,13
ভোলা দৌলতখান,22.6051091,90.7413661,9
ভোলা বোরহান উদ্দিন,22.4752515,90.7152749,4
ভোলা তজুমদ্দিন,22.4179785,90.85083449999999,3
পঞ্চগড় পঞ্চগড়,26.335376,88.551698,82
পঞ্চগড় আটোয়ারী,26.2454538,88.4210006,12
পঞ্চগড় দেবীগঞ্জ,26.1067465,88.7301525,9
পঞ্চগড় বোদা,26.2474396,88.6144839,7
পঞ্চগড় তেতুলিয়া,26.5170069,88.4306955,4
সাতক্ষীরা সাতক্ষীরা সদর,22.7361633,89.0370477,392
সাতক্ষীরা তালা,22.7609333,89.20867729999999,111
সাতক্ষীরা কালিগঞ্জ,22.4740824,89.0561532,88
সাতক্ষীরা কলারোয়া,22.8791501,89.0370477,76
সাতক্ষীরা দেবহাটা,22.5809462,88.9892448,25
সাতক্ষীরা শ্যামনগর,21.9501677,89.1705998,22
সাতক্ষীরা আশাশুনি,22.5463195,89.18964299999999,17
নোয়াখালী নোয়াখালী,22.8246384,91.1017334,260
নোয়াখালী বেগমগঞ্জ,22.9319328,91.0921473,35
নোয়াখালী কোম্পানীগঞ্জ,22.8293515,91.26984750000001,35
নোয়াখালী সুবর্ণচর,22.6638056,91.09693999999999,19
নোয়াখালী সেনবাগ,22.9726148,91.2313618,14
নোয়াখালী চাটখিল,23.0577929,90.97250849999999,6
নোয়াখালী হাতিয়া,22.2824053,91.09693999999999,2
নোয়াখালী সোনাইমুড়ী,23.0509273,91.1113216,0
চুয়াডাঙ্গা চুয়াডাঙ্গা সদর,23.59267,88.8838834,71
চুয়াডাঙ্গা আলমডাঙ্গা,23.7626671,88.94378069999999,20
চুয়াডাঙ্গা জীবননগর,23.4226037,88.82389959999999,7
চুয়াডাঙ্গা দামুড়হুদা,23.615454,88.7493998,4
ঝালকাঠি ঝালকাঠি সদর,22.691245,90.20571079999999,70
ঝালকাঠি নলছিটি,22.5957827,90.2807868,51
ঝালকাঠি কাঠালিয়া,22.4052778,90.09336859999999,1
খাগড়াছড়ি খাগড়াছড়ি সদর,23.1557472,91.96858259999999,52
খাগড়াছড়ি মাটিরাঙ্গা,23.0407988,91.8733017,5
খাগড়াছড়ি মহালছড়ি,22.9316977,92.02976799999999,4
